,fw_id,ecosystem.type,log_num_nodes,avg_degree,connectance,clustering_coefficient,modularity,reciprocated_edge,assort_met,assort_mov,assort_mass,deg_assort_io,deg_assort_oi,deg_assort_oo,deg_assort_ii,miss_mass_frac,high_tax_frac,unclassified_tax_frac,parasitic_removal,cannibalistic_removal,num_attr,min_log_mass,max_log_mass,mean_log_mass,median_log_mass,mass_skewness
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown1",0,terrestrial aboveground,2.322219294733919,10.5286,0.05037593984962406,0.249,0.346,0.001,0.034,0.306,0.063,-0.1169,-0.2258,0.0675,0.1206,0.0,0.481,0.081,0.002,0.001,8,-4.530177984021837,3.6989700043360187,-2.5099949509971675,-2.645998626802718,0.2226530422735991
"Grand Caricaie  marsh dominated by Cladietum marisci, mown  Clmown2",1,terrestrial aboveground,2.2479732663618064,7.4576,0.0423728813559322,0.197,0.368,0.009,0.072,0.364,0.094,-0.0702,-0.1984,-0.0373,0.1028,0.0,0.542,0.079,0.001,0.002,8,-4.530177984021837,3.6989700043360187,-2.496968834324,-2.762634741282292,0.24294188694229266
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl1",2,terrestrial aboveground,2.230448921378274,9.7235,0.05753567699269057,0.194,0.328,0.007,0.039,0.299,0.048,-0.0974,-0.2294,0.0697,0.1354,0.0,0.494,0.088,0.004,0.003,7,-4.530177984021837,3.6989700043360187,-2.4803422729185702,-2.7638052853126536,0.24769921252560365
"Grand Caricaie  marsh dominated by Cladietum marisci, not mown  ClControl2",3,terrestrial aboveground,2.093421685162235,6.4919,0.0527799632835038,0.199,0.36,0.007,0.073,0.302,0.086,-0.09,-0.1725,-0.0295,0.0941,0.0,0.54,0.065,0.007,0.002,8,-4.530177984021837,3.6989700043360187,-2.42112271622585,-2.750801458447256,0.2904059450103737
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown1 ",4,terrestrial aboveground,2.184691430817599,9.5948,0.0631234950120399,0.258,0.384,0.001,0.073,0.321,0.077,-0.1161,-0.1366,0.0965,0.1135,0.0,0.451,0.124,0.005,0.003,8,-4.530177984021837,3.6989700043360187,-2.2733908386262938,-2.50399746687457,0.26430961818463583
"Grand Caricaie  marsh dominated by Schoenus nigricans, mown  Scmown2 ",5,terrestrial aboveground,2.1958996524092336,8.5669,0.05491589090315205,0.18,0.371,0.006,0.068,0.324,0.077,-0.08,-0.1238,-0.0494,0.1206,0.0,0.49,0.089,0.001,0.001,8,-4.530177984021837,3.6989700043360187,-2.2767551727404034,-2.2797612072981064,0.26069445929349083
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl1 ",6,terrestrial aboveground,2.2380461031287955,7.659,0.04452883452076892,0.215,0.346,0.014,0.046,0.345,0.142,-0.0315,-0.2272,-0.0883,0.1588,0.0,0.503,0.081,0.008,0.005,8,-4.530177984021837,3.6989700043360187,-2.5142102742370054,-2.859544754290348,0.24654949590120182
"Grand Caricaie  marsh dominated by Schoenus nigricans, not mown  ScControl2 ",7,terrestrial aboveground,2.1986570869544226,7.9557,0.050673224219946786,0.186,0.372,0.003,0.048,0.387,0.123,-0.1423,-0.1568,-0.0489,0.1168,0.0,0.494,0.095,0.01,0.003,8,-4.530177984021837,3.6989700043360187,-2.326383562454147,-2.4616047456183106,0.2580307578794256
Ythan Estuary,8,marine,1.9637878273455553,4.5,0.04945054945054945,0.161,0.279,0.0,-0.13,0.046,0.007,-0.2014,-0.3776,0.0391,-0.0295,0.011,0.109,0.076,0.0,0.007,12,-5.406713932979542,4.079181246047625,-0.09922049491776198,0.23856062735983122,0.8845494788666082
AEW01,9,terrestrial belowground,2.08278537031645,14.9256,0.1243801652892562,0.604,0.2,0.039,0.024,0.043,0.137,-0.2144,-0.2955,-0.0212,0.329,0.074,0.223,0.14,0.0,0.019,11,-15.022276394711152,-1.1950295903751296,-4.87798984194305,-4.301029995663981,0.7620155139055627
AEW02,10,terrestrial belowground,2.184691430817599,21.5163,0.1415548675610595,0.604,0.204,0.077,0.023,0.044,0.147,-0.2443,-0.2347,0.1265,0.217,0.059,0.261,0.111,0.0,0.016,11,-15.022276394711152,-0.31537902197303214,-4.454951875060401,-4.074172425375258,0.453699490003248
AEW03,11,terrestrial belowground,2.0863598306747484,14.8443,0.12267985367836337,0.598,0.238,0.04,0.026,0.048,0.165,-0.1907,-0.2635,0.1731,0.2651,0.074,0.238,0.139,0.0,0.019,11,-15.022276394711152,0.3011850732073501,-4.622704538517868,-4.132440182959064,0.3933145838780125
AEW04,12,terrestrial belowground,2.0969100130080562,14.384,0.116,0.591,0.257,0.091,0.026,0.047,0.183,-0.1213,-0.1666,-0.0273,0.2622,0.072,0.24,0.136,0.0,0.022,11,-15.022276394711152,0.7821032799395621,-4.380059013309059,-3.8040146036420306,0.43548500700167375
AEW05,13,terrestrial belowground,2.100370545117563,14.5952,0.11676190476190476,0.538,0.206,0.086,0.024,0.044,0.154,-0.1355,-0.2662,-0.0258,0.2136,0.071,0.286,0.135,0.0,0.02,11,-15.022276394711152,0.5212816257008909,-4.442348426472391,-4.0440421185174475,0.44505015608781456
AEW06,14,terrestrial belowground,2.0791812460476247,14.2417,0.11967787114845939,0.566,0.242,0.07,0.025,0.046,0.194,-0.1254,-0.1315,0.0658,0.2775,0.075,0.292,0.142,0.0,0.021,11,-15.022276394711152,0.7821032799395621,-4.346570914292145,-3.67400237271905,0.4429145947747931
AEW07,15,terrestrial belowground,2.110589710299249,14.8837,0.11627906976744186,0.538,0.227,0.064,0.023,0.04,0.173,-0.1394,-0.2948,0.1077,0.2846,0.07,0.31,0.132,0.0,0.02,11,-15.022276394711152,0.3011850732073501,-4.380749302097846,-3.702250428446249,0.5179391038686549
AEW08,16,terrestrial belowground,2.1335389083702174,16.625,0.12314814814814815,0.607,0.254,0.079,0.023,0.042,0.156,-0.1225,-0.1783,0.025,0.2715,0.066,0.228,0.125,0.0,0.019,11,-15.022276394711152,0.7821032799395621,-4.388843726097083,-4.120489206460119,0.4745684003792249
AEW09,17,terrestrial belowground,2.1271047983648077,17.3731,0.13062507013803165,0.613,0.245,0.112,0.025,0.046,0.178,-0.1251,-0.0605,-0.0459,0.3103,0.067,0.254,0.127,0.0,0.02,11,-15.022276394711152,0.7821032799395621,-4.350897938879913,-3.710035723188131,0.34306833116203456
AEW11,18,terrestrial belowground,2.0791812460476247,15.275,0.12836134453781511,0.548,0.212,0.05,0.026,0.05,0.148,-0.2092,-0.3705,-0.0063,0.1764,0.075,0.242,0.142,0.0,0.017,11,-15.022276394711152,-0.7160086198236506,-4.914810339366395,-4.5092492559258766,0.6236165610053134
AEW17,19,terrestrial belowground,2.161368002234975,19.4345,0.13496168582375478,0.62,0.217,0.106,0.023,0.042,0.168,-0.1549,-0.0044,0.0933,0.2805,0.062,0.234,0.117,0.0,0.016,11,-15.022276394711152,0.7821032799395621,-4.1097671988343825,-3.4306495031174813,0.3606970617728209
AEW18,20,terrestrial belowground,2.0453229787866576,14.1892,0.128992628992629,0.544,0.27,0.085,0.027,0.051,0.184,-0.1137,-0.2986,-0.1758,0.201,0.081,0.198,0.153,0.0,0.022,11,-15.022276394711152,-1.5127857215733602,-5.01415590900442,-4.616184634019569,1.1456461843494046
AEW25,21,terrestrial belowground,2.089905111439398,14.748,0.1208849793415967,0.563,0.281,0.063,0.027,0.049,0.184,-0.0804,-0.3368,0.0143,0.2676,0.073,0.179,0.138,0.0,0.022,11,-15.022276394711152,0.35640832703898123,-4.481414326418957,-4.292429823902063,0.5386131434083798
AEW27,22,terrestrial belowground,2.0791812460476247,10.9833,0.09229691876750701,0.461,0.251,0.036,0.024,0.047,0.173,-0.1132,-0.4907,-0.0411,0.1991,0.075,0.283,0.142,0.0,0.021,11,-15.022276394711152,-0.20528899583381566,-4.526024189912505,-4.1110460113245155,0.6489865718783588
AEW30,23,terrestrial belowground,2.0569048513364727,12.2368,0.10829063809967396,0.591,0.215,0.047,0.023,0.038,0.157,-0.1118,-0.1973,0.018,0.4564,0.079,0.281,0.149,0.0,0.02,11,-15.022276394711152,0.3609223408756893,-4.195560086527113,-3.305530804017645,0.6731146725615066
AEW49,24,terrestrial belowground,2.187520720836463,18.4026,0.12027841439606146,0.578,0.245,0.082,0.022,0.039,0.15,-0.16,-0.1908,-0.011,0.2622,0.058,0.253,0.11,0.0,0.017,11,-15.022276394711152,-0.20528899583381566,-4.25916219036614,-3.7470254535892735,0.7778530624450547
HEW01,25,terrestrial belowground,2.1271047983648077,11.5,0.08646616541353383,0.506,0.244,0.052,0.019,0.033,0.15,-0.0641,-0.4335,-0.0876,0.3285,0.067,0.261,0.127,0.0,0.021,11,-15.022276394711152,0.7821032799395621,-4.117949980608357,-3.426952801531458,0.4527926012542646
HEW02,26,terrestrial belowground,2.100370545117563,13.8175,0.11053968253968253,0.564,0.281,0.053,0.023,0.041,0.203,-0.0449,-0.3423,0.0757,0.316,0.071,0.325,0.135,0.0,0.022,11,-15.022276394711152,0.3011850732073501,-4.382010768655731,-3.7259686554365237,0.5696402754633905
HEW03,27,terrestrial belowground,2.089905111439398,13.252,0.10862321737971478,0.615,0.243,0.017,0.022,0.042,0.165,-0.1222,-0.2509,0.1075,0.4678,0.073,0.276,0.138,0.0,0.023,11,-15.022276394711152,-0.20528899583381566,-4.460111326044944,-4.074172425375258,0.72442165500899
HEW04,28,terrestrial belowground,2.0644579892269186,10.0862,0.08770614692653673,0.439,0.289,0.029,0.021,0.038,0.157,-0.0894,-0.5863,-0.1373,0.3294,0.078,0.198,0.147,0.0,0.022,11,-15.022276394711152,0.3011850732073501,-4.689456987975463,-4.359458306092403,0.5109606007974998
HEW05,29,terrestrial belowground,2.225309281725863,18.3512,0.10988736812090105,0.573,0.266,0.082,0.018,0.033,0.172,-0.0779,-0.3206,-0.1236,0.2353,0.054,0.208,0.101,0.0,0.018,11,-15.022276394711152,-0.20528899583381566,-4.215276621934088,-4.071357277343126,0.854322197262815
HEW06,30,terrestrial belowground,2.1522883443830563,16.2183,0.11502347417840375,0.592,0.235,0.081,0.02,0.037,0.198,-0.1108,-0.0869,0.0373,0.3189,0.063,0.303,0.12,0.0,0.019,11,-15.022276394711152,0.3609223408756893,-3.9312925568401513,-2.9517488100681017,0.6689738211846621
HEW10,31,terrestrial belowground,1.9590413923210936,9.4615,0.10512820512820513,0.537,0.308,0.079,0.029,0.048,0.198,0.0363,-0.3343,-0.0944,0.3626,0.099,0.275,0.187,0.0,0.033,11,-15.022276394711152,-0.2166141389193491,-4.623353717487909,-3.80401460364203,1.0409412095974502
HEW11,32,terrestrial belowground,2.12057393120585,14.3333,0.10941475826972011,0.575,0.252,0.09,0.02,0.038,0.155,-0.0743,-0.201,-0.0385,0.3212,0.068,0.348,0.129,0.0,0.021,11,-15.022276394711152,0.7821032799395621,-4.173337687970929,-3.332281723331392,0.44364167644217484
HEW12,33,terrestrial belowground,2.155336037465062,17.2657,0.1215896779277061,0.587,0.267,0.077,0.023,0.044,0.195,-0.0922,-0.211,-0.0383,0.2383,0.063,0.28,0.119,0.0,0.019,11,-15.022276394711152,-0.20528899583381566,-4.448890121576714,-4.068542129310995,0.5687526532133461
HEW13,34,terrestrial belowground,2.1583624920952498,14.6875,0.10270979020979021,0.548,0.235,0.069,0.019,0.033,0.167,-0.1036,-0.3524,-0.0282,0.306,0.062,0.299,0.118,0.0,0.018,11,-15.022276394711152,0.3011850732073501,-4.19927787136354,-3.690605285705967,0.6767306071681397
HEW16,35,terrestrial belowground,2.12057393120585,16.8712,0.12878787878787878,0.605,0.266,0.102,0.025,0.045,0.211,-0.0625,-0.0431,0.0674,0.2759,0.068,0.242,0.129,0.0,0.022,11,-15.022276394711152,0.7821032799395621,-4.174069630034725,-3.305530804017645,0.3800133480450073
HEW17,36,terrestrial belowground,2.143014800254095,14.8561,0.10765300802835992,0.552,0.286,0.063,0.024,0.043,0.177,-0.075,-0.3425,-0.0671,0.2405,0.065,0.23,0.122,0.0,0.022,11,-15.022276394711152,0.5212816257008909,-4.392155072600763,-4.14569395819892,0.5105122849532882
HEW21,37,terrestrial belowground,2.164352855784437,13.411,0.09248937175247993,0.481,0.302,0.059,0.019,0.035,0.198,-0.0044,-0.5109,-0.1185,0.2465,0.062,0.226,0.116,0.0,0.021,11,-15.022276394711152,0.5212816257008909,-4.346437483376347,-4.218965442287945,0.4178014550165106
HEW22,38,terrestrial belowground,2.1367205671564067,15.2701,0.11227994847574066,0.572,0.298,0.076,0.024,0.042,0.223,-0.041,-0.2809,-0.0404,0.2979,0.066,0.27,0.124,0.0,0.022,11,-15.022276394711152,0.7821032799395621,-4.36432798276808,-4.11690664142431,0.3934484962473163
HEW36,39,terrestrial belowground,2.204119982655925,19.9563,0.12551100628930817,0.59,0.26,0.078,0.019,0.033,0.201,-0.1221,-0.1052,0.1005,0.2419,0.056,0.287,0.106,0.0,0.018,11,-15.022276394711152,-0.2166141389193491,-4.073176974423954,-3.605276364365673,0.9572902501831366
HEW47,40,terrestrial belowground,2.1702617153949575,20.4189,0.13890421033278177,0.656,0.22,0.081,0.023,0.041,0.169,-0.1766,-0.067,0.0914,0.3057,0.061,0.243,0.115,0.0,0.017,11,-15.022276394711152,-0.3053948010664313,-4.133873206542556,-3.3737239893850743,0.8180486162890854
SEW01,41,terrestrial belowground,2.0170333392987803,11.7115,0.1137042569081404,0.6,0.27,0.015,0.035,0.067,0.17,-0.1281,-0.3219,0.0274,0.3355,0.087,0.221,0.163,0.0,0.022,11,-15.022276394711152,-0.36935706617370134,-5.059123319262796,-4.5218677486508625,0.43060033641620177
SEW02,42,terrestrial belowground,1.968482948553935,7.6022,0.08263207106124357,0.446,0.286,0.017,0.025,0.047,0.169,-0.0499,-0.4884,-0.1624,0.2384,0.097,0.247,0.183,0.0,0.033,11,-15.022276394711152,-0.20528899583381566,-5.351593295212941,-4.835647144215563,0.38646316750599163
SEW03,43,terrestrial belowground,2.0863598306747484,16.8689,0.13941200379352392,0.653,0.204,0.027,0.034,0.063,0.184,-0.2514,-0.0861,0.2283,0.4012,0.074,0.279,0.139,0.0,0.022,11,-15.022276394711152,-0.20528899583381566,-4.599749025323489,-4.047084526895755,0.47722783990724205
SEW04,44,terrestrial belowground,2.0791812460476247,13.0667,0.10980392156862745,0.556,0.285,0.031,0.026,0.049,0.185,-0.1054,-0.4241,-0.0858,0.286,0.075,0.283,0.142,0.0,0.023,11,-15.022276394711152,-0.03533886748059989,-4.7385150636880216,-4.270575359959361,0.5060306201380425
SEW05,45,terrestrial belowground,2.0043213737826426,11.9802,0.1198019801980198,0.553,0.205,0.005,0.031,0.055,0.127,-0.2374,-0.2246,0.128,0.2844,0.089,0.267,0.168,0.0,0.024,11,-15.022276394711152,-0.03533886748059989,-5.1919213624372516,-4.607303046740334,0.4126980887296916
SEW06,46,terrestrial belowground,2.103803720955957,15.2913,0.12135983002124734,0.614,0.274,0.043,0.025,0.048,0.207,-0.0596,-0.3461,0.0131,0.2731,0.071,0.283,0.134,0.0,0.025,11,-15.022276394711152,-0.8502909654397324,-4.6641646085625,-4.318758762624412,0.9764245107907777
SEW07,47,terrestrial belowground,2.12057393120585,20.7045,0.1580499653018737,0.669,0.207,0.053,0.029,0.055,0.174,-0.2976,0.015,0.2054,0.3563,0.068,0.311,0.129,0.0,0.02,11,-15.022276394711152,-0.06402613246019036,-4.413763892207476,-3.737056991993491,0.528396381764293
SEW08,48,terrestrial belowground,2.0718820073061255,15.6864,0.13407214254671881,0.612,0.245,0.067,0.034,0.058,0.196,-0.1431,-0.1133,0.13,0.2957,0.076,0.305,0.144,0.0,0.025,11,-15.022276394711152,-0.03533886748059989,-4.565991895113555,-3.9906154154141196,0.6709778424300212
SEW09,49,terrestrial belowground,1.9493900066449128,11.3708,0.12921348314606743,0.62,0.269,0.028,0.042,0.076,0.176,-0.2049,-0.1103,0.05,0.4079,0.101,0.326,0.191,0.0,0.027,11,-15.022276394711152,-0.36935706617370134,-5.062969846941717,-4.301029995663981,0.49319491046113706
SEW18,50,terrestrial belowground,2.089905111439398,15.1057,0.12381713981074237,0.674,0.221,0.039,0.03,0.058,0.18,-0.2395,-0.1721,0.0792,0.4511,0.073,0.252,0.138,0.0,0.02,11,-15.022276394711152,-0.20528899583381566,-4.756431176248451,-4.220403508742176,0.3683569327849589
SEW35,51,terrestrial belowground,2.0043213737826426,11.4158,0.11415841584158416,0.586,0.262,0.016,0.032,0.056,0.194,-0.1419,-0.292,0.0801,0.447,0.089,0.277,0.168,0.0,0.027,11,-15.022276394711152,-0.03533886748059989,-4.835856580779148,-4.195860567664649,0.5071137270163588
SEW36,52,terrestrial belowground,1.9493900066449128,10.4607,0.11887129724208376,0.565,0.238,0.021,0.034,0.061,0.174,-0.1393,-0.3025,0.0784,0.2997,0.101,0.247,0.191,0.0,0.031,11,-15.022276394711152,-0.03533886748059989,-5.2087221287262295,-4.686132779630847,0.46911973140675656
SEW37,53,terrestrial belowground,2.0718820073061255,16.7966,0.14356077067941475,0.638,0.227,0.043,0.03,0.054,0.179,-0.1864,-0.0924,0.3297,0.2886,0.076,0.305,0.144,0.0,0.025,11,-15.022276394711152,0.03815999522387777,-4.553161208322267,-3.9022785005793272,0.6203783097534419
SEW41,54,terrestrial belowground,2.0718820073061255,14.5508,0.12436621758655657,0.621,0.236,0.037,0.026,0.049,0.18,-0.1796,-0.2715,0.0837,0.3308,0.076,0.347,0.144,0.0,0.023,11,-15.022276394711152,-0.38418763941609607,-4.576387953043136,-3.7856769131086914,0.6161709845736785
SEW43,55,terrestrial belowground,2.0791812460476247,14.775,0.12415966386554622,0.617,0.234,0.037,0.026,0.049,0.178,-0.1845,-0.2598,0.0904,0.3195,0.075,0.342,0.142,0.0,0.023,11,-15.022276394711152,-0.38418763941609607,-4.543133956361639,-3.7582358730173326,0.6137387788778297
SEW48,56,terrestrial belowground,2.0718820073061255,15.6017,0.13334781978849775,0.609,0.238,0.042,0.031,0.055,0.173,-0.1982,-0.2685,0.2559,0.3228,0.076,0.254,0.144,0.0,0.023,11,-15.022276394711152,-0.4912051124345149,-4.743776274404069,-4.308541432456234,0.6137451951925336
Kongsfjorden,57,marine,2.419955748489758,6.057,0.0231184512234058,0.085,0.457,0.006,-0.101,0.164,0.066,-0.0421,-0.4435,-0.0801,0.1287,0.011,0.053,0.068,0.0,0.006,12,-13.645891560852599,7.719292745782382,-1.9100102794205622,-1.6647469580887457,0.1962484548463692
Alford lake,58,lakes,1.7481880270062005,3.875,0.07045454545454545,0.178,0.286,0.009,-0.102,0.0,-0.021,-0.2771,-0.597,0.6117,0.1539,0.018,0.161,0.071,0.0,0.014,9,-11.106793246940152,2.2600713879850747,-6.598835967161479,-6.497572880015567,0.5176988309816496
Balsam lake,59,lakes,1.6989700043360187,5.16,0.10530612244897959,0.217,0.301,0.023,-0.123,0.0,-0.008,-0.2629,-0.5452,0.2975,0.2347,0.02,0.2,0.08,0.0,0.012,9,-10.8153085691824,1.7781512503836436,-6.761248701401607,-6.798324759067094,0.5062218956493235
Beaver lake,60,lakes,1.7481880270062005,4.6786,0.08506493506493507,0.216,0.344,0.031,-0.074,0.0,0.004,-0.3882,-0.5247,0.3672,-0.0936,0.018,0.125,0.071,0.0,0.019,9,-10.61798295742513,2.8744818176994666,-6.438842060670977,-7.849485002168009,0.6908421283728191
Big hope lake,61,lakes,1.7853298350107671,5.2787,0.08797814207650273,0.195,0.358,0.037,-0.045,0.0,0.03,-0.2457,-0.5906,0.6069,0.0895,0.016,0.131,0.066,0.0,0.019,9,-10.8153085691824,3.3010299956639813,-6.226672265556261,-6.701146923590294,0.4741586207618236
Brandy lake,62,lakes,1.4771212547196624,3.9667,0.1367816091954023,0.241,0.104,0.017,-0.083,0.0,0.006,-0.1479,-0.783,0.508,0.1954,0.033,0.1,0.1,0.0,0.017,9,-10.323306390375134,1.1139433523068367,-5.405887612704528,-5.773608606049639,0.8821785662438845
Bridge brook lake,63,lakes,1.8750612633917,7.3067,0.09873873873873874,0.191,0.368,0.022,-0.148,0.0,-0.024,-0.3908,-0.6138,0.4208,0.0476,0.013,0.12,0.067,0.0,0.009,9,-11.45717457304082,2.255272505103306,-6.757685568912833,-7.698970004336019,0.651797304541323
